account_id,bank_id,city,state,account_age_days,account_type,customer_segment
ACC_0000000,BANK_08,Pune,Maharashtra,179,current,small_business
ACC_0000001,BANK_06,Chennai,Tamil Nadu,215,savings,retail
ACC_0000002,BANK_11,Hyderabad,Telangana,344,savings,retail
ACC_0000003,BANK_03,Ahmedabad,Gujarat,1310,savings,retail
ACC_0000004,BANK_12,Nagpur,Maharashtra,3569,savings,retail
ACC_0000005,BANK_08,Kolkata,West Bengal,173,savings,retail
ACC_0000006,BANK_15,Kolkata,West Bengal,2372,savings,retail
ACC_0000007,BANK_09,Ahmedabad,Gujarat,3763,savings,merchant
ACC_0000008,BANK_14,Mumbai,Maharashtra,763,savings,retail
ACC_0000009,BANK_08,Bengaluru,Karnataka,636,savings,retail
ACC_0000010,BANK_09,Mumbai,Maharashtra,434,savings,retail
ACC_0000011,BANK_07,Pune,Maharashtra,604,savings,retail
ACC_0000012,BANK_08,Bengaluru,Karnataka,541,current,small_business
ACC_0000013,BANK_04,Mumbai,Maharashtra,799,savings,small_business
ACC_0000014,BANK_03,Kolkata,West Bengal,875,savings,retail
ACC_0000015,BANK_11,Nashik,Maharashtra,1687,savings,retail
ACC_0000016,BANK_08,Pune,Maharashtra,3054,savings,retail
ACC_0000017,BANK_10,Nagpur,Maharashtra,2939,savings,retail
ACC_0000018,BANK_09,Kolkata,West Bengal,1545,current,small_business
ACC_0000019,BANK_10,Hyderabad,Telangana,340,savings,small_business
ACC_0000020,BANK_07,Ahmedabad,Gujarat,632,savings,retail
ACC_0000021,BANK_09,Nashik,Maharashtra,188,savings,retail
ACC_0000022,BANK_11,Bengaluru,Karnataka,543,savings,retail
ACC_0000023,BANK_02,Pune,Maharashtra,514,current,retail
ACC_0000024,BANK_06,Pune,Maharashtra,982,savings,retail
ACC_0000025,BANK_09,Kolkata,West Bengal,583,savings,retail
ACC_0000026,BANK_08,Chennai,Tamil Nadu,236,savings,other
ACC_0000027,BANK_03,Delhi,Delhi,605,savings,other
ACC_0000028,BANK_13,Chennai,Tamil Nadu,160,savings,merchant
ACC_0000029,BANK_09,Delhi,Delhi,752,savings,retail
ACC_0000030,BANK_05,Nagpur,Maharashtra,213,savings,retail
ACC_0000031,BANK_06,Nagpur,Maharashtra,565,savings,retail
ACC_0000032,BANK_10,Pune,Maharashtra,63,current,small_business
ACC_0000033,BANK_02,Bengaluru,Karnataka,1020,savings,small_business
ACC_0000034,BANK_05,Ahmedabad,Gujarat,777,savings,retail
ACC_0000035,BANK_03,Nagpur,Maharashtra,250,savings,retail
ACC_0000036,BANK_12,Ahmedabad,Gujarat,1850,savings,merchant
ACC_0000037,BANK_02,Nagpur,Maharashtra,1329,savings,retail
ACC_0000038,BANK_08,Pune,Maharashtra,355,savings,small_business
ACC_0000039,BANK_11,Ahmedabad,Gujarat,714,savings,small_business
ACC_0000040,BANK_14,Hyderabad,Telangana,281,savings,retail
ACC_0000041,BANK_05,Delhi,Delhi,1736,savings,retail
ACC_0000042,BANK_10,Hyderabad,Telangana,576,savings,retail
ACC_0000043,BANK_03,Chennai,Tamil Nadu,456,savings,retail
ACC_0000044,BANK_05,Bengaluru,Karnataka,165,current,retail
ACC_0000045,BANK_11,Kolkata,West Bengal,958,savings,merchant
ACC_0000046,BANK_09,Mumbai,Maharashtra,752,savings,retail
ACC_0000047,BANK_15,Kolkata,West Bengal,474,savings,small_business
ACC_0000048,BANK_11,Nashik,Maharashtra,705,savings,retail
ACC_0000049,BANK_02,Pune,Maharashtra,365,savings,retail
ACC_0000050,BANK_13,Hyderabad,Telangana,405,savings,retail
ACC_0000051,BANK_08,Hyderabad,Telangana,4340,savings,retail
ACC_0000052,BANK_12,Hyderabad,Telangana,333,savings,retail
ACC_0000053,BANK_12,Chennai,Tamil Nadu,473,current,retail
ACC_0000054,BANK_09,Ahmedabad,Gujarat,363,savings,retail
ACC_0000055,BANK_07,Hyderabad,Telangana,1392,savings,retail
ACC_0000056,BANK_05,Pune,Maharashtra,431,current,retail
ACC_0000057,BANK_11,Hyderabad,Telangana,735,savings,retail
ACC_0000058,BANK_07,Hyderabad,Telangana,323,savings,retail
ACC_0000059,BANK_13,Chennai,Tamil Nadu,917,current,retail
ACC_0000060,BANK_07,Pune,Maharashtra,695,savings,retail
ACC_0000061,BANK_11,Kolkata,West Bengal,625,savings,small_business
ACC_0000062,BANK_13,Pune,Maharashtra,826,savings,retail
ACC_0000063,BANK_02,Bengaluru,Karnataka,726,savings,retail
ACC_0000064,BANK_03,Nashik,Maharashtra,1305,savings,retail
ACC_0000065,BANK_05,Hyderabad,Telangana,223,savings,small_business
ACC_0000066,BANK_10,Pune,Maharashtra,461,current,small_business
ACC_0000067,BANK_11,Chennai,Tamil Nadu,688,savings,merchant
ACC_0000068,BANK_07,Nashik,Maharashtra,3268,savings,retail
ACC_0000069,BANK_03,Chennai,Tamil Nadu,286,savings,retail
ACC_0000070,BANK_04,Hyderabad,Telangana,348,savings,retail
ACC_0000071,BANK_06,Chennai,Tamil Nadu,300,savings,small_business
ACC_0000072,BANK_11,Chennai,Tamil Nadu,271,savings,retail
ACC_0000073,BANK_03,Ahmedabad,Gujarat,429,savings,retail
ACC_0000074,BANK_03,Hyderabad,Telangana,59,savings,small_business
ACC_0000075,BANK_03,Nashik,Maharashtra,559,savings,retail
ACC_0000076,BANK_11,Bengaluru,Karnataka,108,current,small_business
ACC_0000077,BANK_04,Bengaluru,Karnataka,976,savings,retail
ACC_0000078,BANK_09,Nashik,Maharashtra,2506,savings,retail
ACC_0000079,BANK_11,Hyderabad,Telangana,1640,savings,retail
ACC_0000080,BANK_05,Nashik,Maharashtra,973,savings,retail
ACC_0000081,BANK_12,Nashik,Maharashtra,367,savings,retail
ACC_0000082,BANK_12,Nashik,Maharashtra,184,current,retail
ACC_0000083,BANK_05,Nagpur,Maharashtra,167,current,retail
ACC_0000084,BANK_10,Bengaluru,Karnataka,1110,savings,retail
ACC_0000085,BANK_04,Hyderabad,Telangana,469,savings,small_business
ACC_0000086,BANK_02,Chennai,Tamil Nadu,1973,savings,retail
ACC_0000087,BANK_01,Kolkata,West Bengal,469,savings,retail
ACC_0000088,BANK_08,Mumbai,Maharashtra,1004,savings,retail
ACC_0000089,BANK_01,Delhi,Delhi,1599,savings,retail
ACC_0000090,BANK_04,Nagpur,Maharashtra,894,savings,retail
ACC_0000091,BANK_01,Nashik,Maharashtra,714,savings,retail
ACC_0000092,BANK_13,Ahmedabad,Gujarat,1588,savings,other
ACC_0000093,BANK_02,Delhi,Delhi,1430,savings,retail
ACC_0000094,BANK_01,Hyderabad,Telangana,189,savings,other
ACC_0000095,BANK_07,Bengaluru,Karnataka,287,savings,merchant
ACC_0000096,BANK_01,Nashik,Maharashtra,146,savings,retail
ACC_0000097,BANK_03,Delhi,Delhi,349,current,retail
ACC_0000098,BANK_07,Chennai,Tamil Nadu,437,savings,merchant
ACC_0000099,BANK_09,Kolkata,West Bengal,4123,savings,retail
ACC_0000100,BANK_14,Nashik,Maharashtra,173,savings,retail
ACC_0000101,BANK_10,Kolkata,West Bengal,2064,savings,retail
ACC_0000102,BANK_13,Pune,Maharashtra,527,savings,retail
ACC_0000103,BANK_01,Chennai,Tamil Nadu,167,savings,retail
ACC_0000104,BANK_11,Hyderabad,Telangana,5000,savings,retail
ACC_0000105,BANK_14,Chennai,Tamil Nadu,373,savings,retail
ACC_0000106,BANK_02,Pune,Maharashtra,446,current,small_business
ACC_0000107,BANK_09,Nagpur,Maharashtra,2823,current,retail
ACC_0000108,BANK_11,Nashik,Maharashtra,701,savings,retail
ACC_0000109,BANK_03,Mumbai,Maharashtra,5000,savings,merchant
ACC_0000110,BANK_12,Nashik,Maharashtra,757,savings,retail
ACC_0000111,BANK_14,Pune,Maharashtra,188,savings,merchant
ACC_0000112,BANK_01,Ahmedabad,Gujarat,182,savings,retail
ACC_0000113,BANK_13,Chennai,Tamil Nadu,2521,savings,retail
ACC_0000114,BANK_12,Hyderabad,Telangana,427,savings,retail
ACC_0000115,BANK_04,Kolkata,West Bengal,1511,savings,retail
ACC_0000116,BANK_07,Pune,Maharashtra,805,savings,small_business
ACC_0000117,BANK_12,Chennai,Tamil Nadu,1273,current,retail
ACC_0000118,BANK_13,Hyderabad,Telangana,77,savings,retail
ACC_0000119,BANK_04,Nashik,Maharashtra,1341,savings,retail
ACC_0000120,BANK_07,Nagpur,Maharashtra,258,current,retail
ACC_0000121,BANK_10,Chennai,Tamil Nadu,982,savings,other
ACC_0000122,BANK_11,Nagpur,Maharashtra,695,savings,merchant
ACC_0000123,BANK_15,Pune,Maharashtra,175,savings,merchant
ACC_0000124,BANK_03,Mumbai,Maharashtra,935,savings,other
ACC_0000125,BANK_02,Nagpur,Maharashtra,735,savings,retail
ACC_0000126,BANK_12,Delhi,Delhi,705,savings,retail
ACC_0000127,BANK_12,Kolkata,West Bengal,437,savings,retail
ACC_0000128,BANK_12,Nagpur,Maharashtra,660,savings,small_business
ACC_0000129,BANK_02,Kolkata,West Bengal,3831,savings,small_business
ACC_0000130,BANK_07,Delhi,Delhi,318,savings,retail
ACC_0000131,BANK_14,Chennai,Tamil Nadu,579,savings,retail
ACC_0000132,BANK_02,Nagpur,Maharashtra,1220,savings,retail
ACC_0000133,BANK_08,Ahmedabad,Gujarat,1866,savings,retail
ACC_0000134,BANK_03,Mumbai,Maharashtra,1190,savings,small_business
ACC_0000135,BANK_03,Delhi,Delhi,1111,savings,retail
ACC_0000136,BANK_06,Nashik,Maharashtra,270,current,retail
ACC_0000137,BANK_08,Ahmedabad,Gujarat,203,savings,retail
ACC_0000138,BANK_06,Chennai,Tamil Nadu,307,savings,retail
ACC_0000139,BANK_12,Kolkata,West Bengal,89,savings,small_business
ACC_0000140,BANK_08,Bengaluru,Karnataka,2183,savings,small_business
ACC_0000141,BANK_04,Nagpur,Maharashtra,973,savings,retail
ACC_0000142,BANK_13,Bengaluru,Karnataka,167,savings,retail
ACC_0000143,BANK_09,Kolkata,West Bengal,273,savings,retail
ACC_0000144,BANK_11,Nashik,Maharashtra,4540,savings,retail
ACC_0000145,BANK_07,Chennai,Tamil Nadu,1730,savings,retail
ACC_0000146,BANK_09,Nashik,Maharashtra,1885,savings,retail
ACC_0000147,BANK_15,Chennai,Tamil Nadu,584,savings,retail
ACC_0000148,BANK_11,Delhi,Delhi,361,savings,small_business
ACC_0000149,BANK_11,Mumbai,Maharashtra,1969,savings,retail
ACC_0000150,BANK_07,Chennai,Tamil Nadu,1766,savings,retail
ACC_0000151,BANK_13,Nagpur,Maharashtra,280,current,retail
ACC_0000152,BANK_10,Hyderabad,Telangana,511,savings,retail
ACC_0000153,BANK_04,Bengaluru,Karnataka,397,savings,retail
ACC_0000154,BANK_13,Mumbai,Maharashtra,936,savings,merchant
ACC_0000155,BANK_07,Pune,Maharashtra,1615,current,small_business
ACC_0000156,BANK_02,Bengaluru,Karnataka,299,savings,retail
ACC_0000157,BANK_10,Chennai,Tamil Nadu,631,savings,small_business
ACC_0000158,BANK_01,Bengaluru,Karnataka,355,savings,retail
ACC_0000159,BANK_11,Mumbai,Maharashtra,344,current,retail
ACC_0000160,BANK_13,Nashik,Maharashtra,370,savings,merchant
ACC_0000161,BANK_09,Nashik,Maharashtra,835,savings,retail
ACC_0000162,BANK_10,Kolkata,West Bengal,1194,current,retail
ACC_0000163,BANK_01,Delhi,Delhi,5000,savings,small_business
ACC_0000164,BANK_06,Mumbai,Maharashtra,724,savings,merchant
ACC_0000165,BANK_13,Ahmedabad,Gujarat,427,savings,retail
ACC_0000166,BANK_12,Pune,Maharashtra,2076,savings,other
ACC_0000167,BANK_06,Ahmedabad,Gujarat,814,savings,retail
ACC_0000168,BANK_15,Nagpur,Maharashtra,309,current,retail
ACC_0000169,BANK_08,Ahmedabad,Gujarat,752,savings,merchant
ACC_0000170,BANK_15,Nagpur,Maharashtra,891,savings,retail
ACC_0000171,BANK_10,Pune,Maharashtra,2949,savings,other
ACC_0000172,BANK_06,Chennai,Tamil Nadu,1049,savings,retail
ACC_0000173,BANK_12,Hyderabad,Telangana,339,savings,merchant
ACC_0000174,BANK_02,Bengaluru,Karnataka,1173,savings,retail
ACC_0000175,BANK_14,Kolkata,West Bengal,370,savings,retail
ACC_0000176,BANK_09,Ahmedabad,Gujarat,733,savings,small_business
ACC_0000177,BANK_08,Nashik,Maharashtra,952,savings,retail
ACC_0000178,BANK_12,Hyderabad,Telangana,395,savings,retail
ACC_0000179,BANK_14,Pune,Maharashtra,2203,savings,retail
ACC_0000180,BANK_15,Mumbai,Maharashtra,371,savings,retail
ACC_0000181,BANK_13,Nagpur,Maharashtra,660,savings,retail
ACC_0000182,BANK_14,Hyderabad,Telangana,3108,savings,retail
ACC_0000183,BANK_09,Nagpur,Maharashtra,244,savings,retail
ACC_0000184,BANK_04,Nashik,Maharashtra,4485,current,small_business
ACC_0000185,BANK_15,Nashik,Maharashtra,1871,savings,merchant
ACC_0000186,BANK_07,Nagpur,Maharashtra,816,savings,small_business
ACC_0000187,BANK_11,Nashik,Maharashtra,606,current,small_business
ACC_0000188,BANK_11,Mumbai,Maharashtra,1645,savings,retail
ACC_0000189,BANK_15,Ahmedabad,Gujarat,1021,savings,merchant
ACC_0000190,BANK_02,Kolkata,West Bengal,819,savings,retail
ACC_0000191,BANK_03,Hyderabad,Telangana,5000,savings,retail
ACC_0000192,BANK_04,Nashik,Maharashtra,787,savings,retail
ACC_0000193,BANK_15,Hyderabad,Telangana,435,savings,retail
ACC_0000194,BANK_02,Nagpur,Maharashtra,180,current,other
ACC_0000195,BANK_05,Kolkata,West Bengal,336,savings,retail
ACC_0000196,BANK_10,Nashik,Maharashtra,687,savings,retail
ACC_0000197,BANK_03,Pune,Maharashtra,1843,savings,retail
ACC_0000198,BANK_10,Hyderabad,Telangana,1157,savings,retail
ACC_0000199,BANK_15,Ahmedabad,Gujarat,752,savings,merchant
ACC_0000200,BANK_07,Hyderabad,Telangana,1215,savings,retail
ACC_0000201,BANK_07,Hyderabad,Telangana,764,savings,retail
ACC_0000202,BANK_07,Chennai,Tamil Nadu,1320,current,small_business
ACC_0000203,BANK_02,Nagpur,Maharashtra,426,savings,retail
ACC_0000204,BANK_09,Ahmedabad,Gujarat,2310,savings,retail
ACC_0000205,BANK_09,Ahmedabad,Gujarat,966,savings,retail
ACC_0000206,BANK_12,Nashik,Maharashtra,5000,savings,retail
ACC_0000207,BANK_13,Delhi,Delhi,237,savings,retail
ACC_0000208,BANK_05,Pune,Maharashtra,821,savings,retail
ACC_0000209,BANK_04,Pune,Maharashtra,4568,savings,retail
ACC_0000210,BANK_13,Mumbai,Maharashtra,1283,savings,retail
ACC_0000211,BANK_10,Pune,Maharashtra,3974,savings,retail
ACC_0000212,BANK_08,Pune,Maharashtra,1213,current,small_business
ACC_0000213,BANK_15,Pune,Maharashtra,1257,savings,retail
ACC_0000214,BANK_02,Hyderabad,Telangana,988,current,small_business
ACC_0000215,BANK_02,Nagpur,Maharashtra,195,savings,merchant
ACC_0000216,BANK_11,Chennai,Tamil Nadu,1023,savings,retail
ACC_0000217,BANK_03,Hyderabad,Telangana,1914,savings,retail
ACC_0000218,BANK_06,Nashik,Maharashtra,728,savings,other
ACC_0000219,BANK_04,Kolkata,West Bengal,107,savings,retail
ACC_0000220,BANK_02,Delhi,Delhi,306,savings,retail
ACC_0000221,BANK_07,Ahmedabad,Gujarat,766,savings,retail
ACC_0000222,BANK_05,Bengaluru,Karnataka,427,savings,retail
ACC_0000223,BANK_15,Mumbai,Maharashtra,177,savings,retail
ACC_0000224,BANK_14,Bengaluru,Karnataka,829,savings,small_business
ACC_0000225,BANK_03,Nashik,Maharashtra,108,savings,retail
ACC_0000226,BANK_05,Nagpur,Maharashtra,1576,savings,merchant
ACC_0000227,BANK_09,Delhi,Delhi,605,savings,merchant
ACC_0000228,BANK_03,Ahmedabad,Gujarat,995,savings,retail
ACC_0000229,BANK_03,Nashik,Maharashtra,563,savings,merchant
ACC_0000230,BANK_03,Mumbai,Maharashtra,281,current,retail
ACC_0000231,BANK_05,Delhi,Delhi,680,savings,retail
ACC_0000232,BANK_13,Chennai,Tamil Nadu,752,savings,retail
ACC_0000233,BANK_13,Delhi,Delhi,1233,savings,retail
ACC_0000234,BANK_13,Hyderabad,Telangana,306,current,small_business
ACC_0000235,BANK_07,Kolkata,West Bengal,165,savings,retail
ACC_0000236,BANK_13,Nagpur,Maharashtra,659,savings,retail
ACC_0000237,BANK_01,Nagpur,Maharashtra,5000,savings,retail
ACC_0000238,BANK_05,Nashik,Maharashtra,782,savings,retail
ACC_0000239,BANK_01,Delhi,Delhi,1527,savings,small_business
ACC_0000240,BANK_11,Pune,Maharashtra,1407,savings,retail
ACC_0000241,BANK_15,Kolkata,West Bengal,1700,savings,retail
ACC_0000242,BANK_10,Nagpur,Maharashtra,1060,savings,retail
ACC_0000243,BANK_03,Ahmedabad,Gujarat,209,savings,merchant
ACC_0000244,BANK_14,Mumbai,Maharashtra,110,savings,retail
ACC_0000245,BANK_15,Delhi,Delhi,694,current,retail
ACC_0000246,BANK_13,Pune,Maharashtra,3904,savings,small_business
ACC_0000247,BANK_01,Kolkata,West Bengal,637,savings,retail
ACC_0000248,BANK_05,Nashik,Maharashtra,262,savings,small_business
ACC_0000249,BANK_13,Bengaluru,Karnataka,1163,savings,retail
ACC_0000250,BANK_05,Ahmedabad,Gujarat,79,savings,retail
ACC_0000251,BANK_05,Ahmedabad,Gujarat,101,savings,retail
ACC_0000252,BANK_11,Nashik,Maharashtra,663,savings,retail
ACC_0000253,BANK_05,Nashik,Maharashtra,175,savings,retail
ACC_0000254,BANK_14,Hyderabad,Telangana,2216,savings,small_business
ACC_0000255,BANK_10,Delhi,Delhi,598,savings,retail
ACC_0000256,BANK_14,Mumbai,Maharashtra,1883,savings,retail
ACC_0000257,BANK_04,Hyderabad,Telangana,299,savings,retail
ACC_0000258,BANK_05,Pune,Maharashtra,1037,savings,retail
ACC_0000259,BANK_07,Kolkata,West Bengal,4386,savings,retail
ACC_0000260,BANK_08,Nagpur,Maharashtra,170,savings,retail
ACC_0000261,BANK_06,Nashik,Maharashtra,481,savings,small_business
ACC_0000262,BANK_12,Nagpur,Maharashtra,495,current,retail
ACC_0000263,BANK_14,Bengaluru,Karnataka,1408,savings,retail
ACC_0000264,BANK_06,Kolkata,West Bengal,202,savings,retail
ACC_0000265,BANK_09,Nagpur,Maharashtra,767,savings,retail
ACC_0000266,BANK_14,Kolkata,West Bengal,4899,savings,retail
ACC_0000267,BANK_09,Bengaluru,Karnataka,117,savings,retail
ACC_0000268,BANK_13,Kolkata,West Bengal,343,savings,retail
ACC_0000269,BANK_04,Ahmedabad,Gujarat,1164,current,retail
ACC_0000270,BANK_14,Mumbai,Maharashtra,62,current,retail
ACC_0000271,BANK_12,Nagpur,Maharashtra,397,savings,retail
ACC_0000272,BANK_12,Hyderabad,Telangana,520,savings,retail
ACC_0000273,BANK_04,Ahmedabad,Gujarat,78,current,retail
ACC_0000274,BANK_10,Pune,Maharashtra,300,savings,retail
ACC_0000275,BANK_03,Ahmedabad,Gujarat,479,savings,retail
ACC_0000276,BANK_12,Delhi,Delhi,1443,savings,merchant
ACC_0000277,BANK_11,Kolkata,West Bengal,1196,savings,other
ACC_0000278,BANK_15,Hyderabad,Telangana,1085,savings,retail
