case_id,account_id,atm_id,timestamp_min,amount_inr,withdrawal_type
CASE_000000,ACC_0059666,ATM_001440,64993,38063.88,CASHOUT
CASE_000002,ACC_0068780,ATM_005072,167048,99038.22,CROSS_STATE_CASHOUT
CASE_000004,ACC_0079756,ATM_002519,102880,50718.3,AVERTED_CASHOUT
CASE_000005,ACC_0091541,ATM_003841,4441,7353.96,CASHOUT
CASE_000006,ACC_0021503,ATM_002603,231082,144575.61,CASHOUT
CASE_000009,ACC_0089809,ATM_000761,216550,149341.59,AVERTED_CASHOUT
CASE_000012,ACC_0071364,ATM_004226,259039,4317.94,CASHOUT
CASE_000013,ACC_0033811,ATM_006830,220257,5617.01,CASHOUT
CASE_000015,ACC_0084134,ATM_000774,30143,24799.4,CROSS_STATE_CASHOUT
CASE_000020,ACC_0045922,ATM_005310,210379,170190.57,CASHOUT
CASE_000021,ACC_0005095,ATM_005893,127575,25077.78,CASHOUT
CASE_000022,ACC_0041383,ATM_000499,188536,29114.11,CASHOUT
CASE_000025,ACC_0066959,ATM_001008,230285,115304.11,CASHOUT
CASE_000026,ACC_0011560,ATM_001819,7821,20675.5,AVERTED_CASHOUT
CASE_000027,ACC_0084875,ATM_005916,97036,17178.21,CASHOUT
CASE_000028,ACC_0069055,ATM_001412,175977,40488.86,CASHOUT
CASE_000031,ACC_0046989,ATM_004794,168965,40179.73,CASHOUT
CASE_000033,ACC_0029042,ATM_004956,162284,4223.84,CASHOUT
CASE_000034,ACC_0079352,ATM_004438,63048,5391.82,CROSS_STATE_CASHOUT
CASE_000035,ACC_0037119,ATM_000666,79279,298265.53,CASHOUT
CASE_000037,ACC_0075929,ATM_000662,65463,6701.07,CASHOUT
CASE_000041,ACC_0041781,ATM_002712,27256,75707.39,CASHOUT
CASE_000047,ACC_0015933,ATM_005327,159861,21638.21,CASHOUT
CASE_000048,ACC_0042368,ATM_002847,16983,3878.73,CASHOUT
CASE_000049,ACC_0001479,ATM_003812,154994,220273.3,CASHOUT
CASE_000050,ACC_0085486,ATM_001961,73746,12712.04,CASHOUT
CASE_000051,ACC_0091836,ATM_006855,92544,209839.92,CROSS_STATE_CASHOUT
CASE_000052,ACC_0021526,ATM_003373,210808,4420.89,CASHOUT
CASE_000055,ACC_0039810,ATM_001474,128571,168019.8,CASHOUT
CASE_000056,ACC_0065963,ATM_002691,199081,11938.63,CASHOUT
CASE_000058,ACC_0026062,ATM_006435,225618,93529.29,CASHOUT
CASE_000060,ACC_0053844,ATM_003481,22640,2639.48,CASHOUT
CASE_000061,ACC_0006252,ATM_003748,125452,47335.5,CASHOUT
CASE_000062,ACC_0044098,ATM_003262,128244,51255.4,CASHOUT
CASE_000065,ACC_0079989,ATM_006440,236259,131200.05,AVERTED_CASHOUT
CASE_000067,ACC_0061617,ATM_001408,47440,145202.94,CASHOUT
CASE_000068,ACC_0058914,ATM_001076,218021,260374.66,CROSS_STATE_CASHOUT
CASE_000069,ACC_0092541,ATM_002611,9624,55791.27,CASHOUT
CASE_000070,ACC_0057069,ATM_000489,108657,20596.95,CASHOUT
CASE_000071,ACC_0088924,ATM_002512,50087,6740.61,CROSS_STATE_CASHOUT
CASE_000072,ACC_0079050,ATM_002000,103139,18798.12,CASHOUT
CASE_000076,ACC_0080529,ATM_006781,21822,20131.4,CROSS_STATE_CASHOUT
CASE_000078,ACC_0078823,ATM_001293,152410,14115.89,CASHOUT
CASE_000079,ACC_0061754,ATM_001353,227180,16360.51,CASHOUT
CASE_000081,ACC_0042320,ATM_006012,158105,94330.12,AVERTED_CASHOUT
CASE_000082,ACC_0064088,ATM_000723,149215,89488.38,CASHOUT
CASE_000089,ACC_0014251,ATM_001348,131095,78247.57,CROSS_STATE_CASHOUT
CASE_000090,ACC_0011560,ATM_006833,206005,34629.0,CASHOUT
CASE_000091,ACC_0045826,ATM_002950,73274,199835.71,CASHOUT
CASE_000092,ACC_0024281,ATM_002005,114356,45408.77,CASHOUT
CASE_000093,ACC_0098387,ATM_002139,35027,24445.09,CROSS_STATE_CASHOUT
CASE_000095,ACC_0023618,ATM_004902,93776,23180.27,CASHOUT
CASE_000096,ACC_0003266,ATM_000206,107024,3990.02,AVERTED_CASHOUT
CASE_000100,ACC_0011693,ATM_003418,48917,40442.14,CASHOUT
CASE_000104,ACC_0034354,ATM_000621,225597,5081.37,CROSS_STATE_CASHOUT
CASE_000112,ACC_0075360,ATM_006932,159677,10483.19,CASHOUT
CASE_000114,ACC_0095116,ATM_002804,1845,31599.36,CASHOUT
CASE_000115,ACC_0028728,ATM_004898,196882,72681.73,CROSS_STATE_CASHOUT
CASE_000117,ACC_0085808,ATM_004386,162201,119938.37,CASHOUT
CASE_000119,ACC_0087506,ATM_005180,180408,26683.4,CASHOUT
CASE_000122,ACC_0087315,ATM_000672,187500,15475.89,CASHOUT
CASE_000123,ACC_0077785,ATM_004897,130703,107582.47,CASHOUT
CASE_000128,ACC_0057652,ATM_001848,180075,15229.66,AVERTED_CASHOUT
CASE_000129,ACC_0058823,ATM_005497,115005,82484.09,CROSS_STATE_CASHOUT
CASE_000130,ACC_0094838,ATM_000204,16689,115304.06,CASHOUT
CASE_000131,ACC_0099034,ATM_005863,253269,12299.26,CASHOUT
CASE_000134,ACC_0065417,ATM_006961,96592,21444.33,CASHOUT
CASE_000136,ACC_0018467,ATM_006391,210439,17168.56,CASHOUT
CASE_000137,ACC_0062630,ATM_004433,238158,161420.1,CROSS_STATE_CASHOUT
CASE_000138,ACC_0043178,ATM_003648,208373,23481.35,CASHOUT
CASE_000139,ACC_0015427,ATM_000358,257404,33200.09,CASHOUT
CASE_000141,ACC_0060365,ATM_005551,49056,45270.48,CASHOUT
CASE_000142,ACC_0057966,ATM_001972,135948,147691.0,CROSS_STATE_CASHOUT
CASE_000144,ACC_0077252,ATM_006549,52551,51998.63,CROSS_STATE_CASHOUT
CASE_000145,ACC_0010441,ATM_004921,177846,207223.63,CASHOUT
CASE_000146,ACC_0041928,ATM_005416,157034,7283.37,CASHOUT
CASE_000147,ACC_0051092,ATM_001794,155503,26701.01,CASHOUT
CASE_000148,ACC_0072986,ATM_006017,154382,9064.23,CASHOUT
CASE_000151,ACC_0036487,ATM_001073,84789,21088.42,CASHOUT
CASE_000153,ACC_0040453,ATM_002722,21885,34281.17,CASHOUT
CASE_000155,ACC_0041071,ATM_004174,108716,11838.64,CASHOUT
CASE_000157,ACC_0036299,ATM_004072,167281,14563.13,AVERTED_CASHOUT
CASE_000159,ACC_0019346,ATM_004987,103025,26364.28,CROSS_STATE_CASHOUT
CASE_000160,ACC_0073951,ATM_006340,183449,32273.05,CASHOUT
CASE_000162,ACC_0053893,ATM_004250,158784,14895.02,CROSS_STATE_CASHOUT
CASE_000163,ACC_0083150,ATM_006882,253048,36149.27,CASHOUT
CASE_000170,ACC_0015728,ATM_003238,181710,33106.76,AVERTED_CASHOUT
CASE_000171,ACC_0071880,ATM_002805,13377,37590.43,CASHOUT
CASE_000172,ACC_0085548,ATM_001043,73545,17359.39,CROSS_STATE_CASHOUT
CASE_000180,ACC_0046302,ATM_003101,170904,11865.31,CASHOUT
CASE_000181,ACC_0082447,ATM_002433,175756,28851.99,CROSS_STATE_CASHOUT
CASE_000182,ACC_0071321,ATM_000530,55962,107522.99,CASHOUT
CASE_000183,ACC_0006625,ATM_005045,178472,76552.18,CASHOUT
CASE_000186,ACC_0078761,ATM_005980,38011,233115.85,CASHOUT
CASE_000187,ACC_0061943,ATM_005065,181840,56446.89,AVERTED_CASHOUT
CASE_000189,ACC_0027617,ATM_002608,210113,7337.18,AVERTED_CASHOUT
CASE_000191,ACC_0089612,ATM_001985,251624,18449.25,CROSS_STATE_CASHOUT
CASE_000193,ACC_0074411,ATM_004583,198225,27183.24,CASHOUT
CASE_000198,ACC_0079756,ATM_000666,51519,12843.44,CASHOUT
CASE_000200,ACC_0046387,ATM_005233,29873,391455.97,CROSS_STATE_CASHOUT
CASE_000201,ACC_0027331,ATM_001979,115469,6648.82,CASHOUT
CASE_000204,ACC_0098626,ATM_005332,122218,420337.53,CASHOUT
CASE_000205,ACC_0049304,ATM_002037,22668,39049.2,CASHOUT
CASE_000206,ACC_0072929,ATM_006804,121066,3950.76,AVERTED_CASHOUT
CASE_000207,ACC_0059666,ATM_000229,84959,36666.02,CASHOUT
CASE_000208,ACC_0033016,ATM_001134,127657,12459.06,CASHOUT
CASE_000209,ACC_0083221,ATM_000281,141877,64601.24,CROSS_STATE_CASHOUT
CASE_000212,ACC_0081147,ATM_006085,3950,34513.1,CASHOUT
CASE_000213,ACC_0018264,ATM_002474,8899,11831.15,CASHOUT
CASE_000214,ACC_0070762,ATM_003789,72799,53635.13,AVERTED_CASHOUT
CASE_000215,ACC_0095927,ATM_000319,80651,5956.84,CASHOUT
CASE_000216,ACC_0037680,ATM_005108,189627,61960.61,CASHOUT
CASE_000218,ACC_0021158,ATM_005019,118793,197152.87,CASHOUT
CASE_000219,ACC_0057409,ATM_005653,69550,226570.29,CASHOUT
CASE_000221,ACC_0035744,ATM_001318,145089,76654.36,CASHOUT
CASE_000222,ACC_0017696,ATM_000376,7984,50053.06,CASHOUT
CASE_000223,ACC_0069440,ATM_001795,175843,353630.43,CASHOUT
CASE_000225,ACC_0022086,ATM_003601,91459,4003.5,CASHOUT
CASE_000228,ACC_0069836,ATM_004245,218279,32366.15,CROSS_STATE_CASHOUT
CASE_000230,ACC_0040396,ATM_005611,173602,85348.41,CASHOUT
CASE_000232,ACC_0038346,ATM_003948,200357,56076.49,CASHOUT
CASE_000234,ACC_0090648,ATM_004673,87575,14028.47,CASHOUT
CASE_000235,ACC_0030703,ATM_006462,153238,41768.56,CASHOUT
CASE_000236,ACC_0063115,ATM_002105,101599,12501.2,CASHOUT
CASE_000239,ACC_0083647,ATM_001745,204242,63271.9,CROSS_STATE_CASHOUT
CASE_000240,ACC_0054837,ATM_006894,192313,18287.34,CASHOUT
CASE_000242,ACC_0066456,ATM_001770,148728,132824.59,AVERTED_CASHOUT
CASE_000243,ACC_0001765,ATM_001698,196760,27771.27,CASHOUT
CASE_000247,ACC_0034812,ATM_004001,170010,17587.56,CASHOUT
CASE_000249,ACC_0043044,ATM_000191,112259,3464.67,CASHOUT
CASE_000250,ACC_0010159,ATM_002432,26792,21988.18,CASHOUT
CASE_000252,ACC_0028734,ATM_001167,147407,8025.38,CASHOUT
CASE_000254,ACC_0047828,ATM_004384,234273,22026.79,CASHOUT
CASE_000256,ACC_0045129,ATM_003657,165451,13318.09,CASHOUT
CASE_000259,ACC_0044976,ATM_005116,124793,10454.17,CASHOUT
CASE_000260,ACC_0052431,ATM_001223,170997,102816.0,CASHOUT
CASE_000262,ACC_0089108,ATM_004907,127179,367151.91,CASHOUT
CASE_000264,ACC_0009888,ATM_002828,251768,2790.56,CASHOUT
CASE_000266,ACC_0025785,ATM_003531,193488,86004.74,CASHOUT
CASE_000270,ACC_0079131,ATM_006199,202641,73131.58,CASHOUT
CASE_000271,ACC_0080057,ATM_002024,133918,29719.58,CASHOUT
CASE_000273,ACC_0023221,ATM_004254,255787,16188.81,CROSS_STATE_CASHOUT
CASE_000275,ACC_0067105,ATM_004837,244009,16604.84,AVERTED_CASHOUT
CASE_000276,ACC_0038476,ATM_002234,116000,24357.58,CROSS_STATE_CASHOUT
CASE_000278,ACC_0091453,ATM_006088,212977,229516.29,CROSS_STATE_CASHOUT
CASE_000281,ACC_0092541,ATM_004063,249568,320212.25,CASHOUT
CASE_000287,ACC_0058372,ATM_006954,113810,26763.95,CROSS_STATE_CASHOUT
CASE_000288,ACC_0084998,ATM_001721,169070,17627.59,CROSS_STATE_CASHOUT
CASE_000292,ACC_0048679,ATM_001053,243020,66067.81,AVERTED_CASHOUT
CASE_000293,ACC_0026417,ATM_002859,171834,75605.17,AVERTED_CASHOUT
CASE_000294,ACC_0033838,ATM_003628,75642,88411.1,CASHOUT
CASE_000296,ACC_0022976,ATM_002302,162847,601273.29,CROSS_STATE_CASHOUT
CASE_000297,ACC_0018909,ATM_005254,115343,354565.31,CASHOUT
CASE_000302,ACC_0072513,ATM_004872,252871,17153.47,AVERTED_CASHOUT
CASE_000306,ACC_0057658,ATM_001414,83364,2100.0,CROSS_STATE_CASHOUT
CASE_000309,ACC_0018193,ATM_006833,181166,36678.11,CASHOUT
CASE_000310,ACC_0088256,ATM_004071,25110,8085.34,AVERTED_CASHOUT
CASE_000311,ACC_0004545,ATM_004525,184262,181919.36,AVERTED_CASHOUT
CASE_000312,ACC_0072358,ATM_006547,10503,68409.47,CASHOUT
CASE_000317,ACC_0016365,ATM_006224,173966,484143.51,CROSS_STATE_CASHOUT
CASE_000319,ACC_0038704,ATM_000785,187322,36624.4,CROSS_STATE_CASHOUT
CASE_000321,ACC_0063547,ATM_003489,27545,115928.34,CROSS_STATE_CASHOUT
CASE_000324,ACC_0083578,ATM_001780,150292,69828.25,CROSS_STATE_CASHOUT
CASE_000325,ACC_0063171,ATM_004885,120046,27482.68,CASHOUT
CASE_000327,ACC_0099944,ATM_006395,13957,8169.5,CROSS_STATE_CASHOUT
CASE_000332,ACC_0052422,ATM_006709,238015,2291.95,CASHOUT
CASE_000333,ACC_0095549,ATM_001082,48345,9053.37,AVERTED_CASHOUT
CASE_000334,ACC_0053209,ATM_002451,173781,60094.1,AVERTED_CASHOUT
CASE_000335,ACC_0088165,ATM_000181,6626,33475.47,CASHOUT
CASE_000336,ACC_0035071,ATM_002775,60388,16232.53,CASHOUT
CASE_000339,ACC_0018291,ATM_004285,141316,99038.24,CROSS_STATE_CASHOUT
CASE_000341,ACC_0095622,ATM_004985,258951,219867.47,CASHOUT
CASE_000343,ACC_0093702,ATM_004360,109378,16354.18,CROSS_STATE_CASHOUT
CASE_000345,ACC_0000326,ATM_003255,47332,46880.77,CASHOUT
CASE_000347,ACC_0014585,ATM_001095,72456,14559.66,CROSS_STATE_CASHOUT
CASE_000348,ACC_0005984,ATM_002377,208390,44871.7,AVERTED_CASHOUT
CASE_000351,ACC_0047800,ATM_004227,88963,2100.0,CROSS_STATE_CASHOUT
CASE_000352,ACC_0012781,ATM_005641,94480,10631.52,AVERTED_CASHOUT
CASE_000353,ACC_0060027,ATM_005275,6414,2805.86,AVERTED_CASHOUT
CASE_000354,ACC_0033521,ATM_000759,139626,2424.58,CASHOUT
CASE_000356,ACC_0094896,ATM_006868,129216,134934.48,AVERTED_CASHOUT
CASE_000357,ACC_0081759,ATM_001428,223421,284995.28,CROSS_STATE_CASHOUT
CASE_000358,ACC_0033624,ATM_002392,166557,105142.69,CROSS_STATE_CASHOUT
CASE_000361,ACC_0098083,ATM_002044,2905,255749.48,CASHOUT
CASE_000364,ACC_0055426,ATM_002495,97409,27977.49,CASHOUT
CASE_000371,ACC_0076843,ATM_003852,29063,19125.35,CASHOUT
