atm_id,bank_id,city,state,latitude,longitude,baseline_daily_txn_volume,operating_24x7,synthetic_risk_zone
ATM_000000,BANK_03,Hyderabad,Telangana,17.337095,78.453313,1495,1,71
ATM_000001,BANK_09,Pune,Maharashtra,18.526078,73.850285,1550,1,6
ATM_000002,BANK_02,Hyderabad,Telangana,17.409654,78.522116,249,0,58
ATM_000003,BANK_06,Ahmedabad,Gujarat,23.045685,72.567263,1430,0,57
ATM_000004,BANK_02,Hyderabad,Telangana,17.403901,78.473854,1666,1,61
ATM_000005,BANK_02,Nashik,Maharashtra,20.030363,73.776081,1447,0,45
ATM_000006,BANK_06,Kolkata,West Bengal,22.646031,88.430713,1631,1,25
ATM_000007,BANK_12,Ahmedabad,Gujarat,22.986306,72.552307,106,0,96
ATM_000008,BANK_01,Kolkata,West Bengal,22.572127,88.366474,1535,0,6
ATM_000009,BANK_15,Delhi,Delhi,28.637924,77.187349,470,1,25
ATM_000010,BANK_05,Bengaluru,Karnataka,12.980066,77.608244,1055,0,23
ATM_000011,BANK_02,Nagpur,Maharashtra,21.1659,79.105056,956,1,25
ATM_000012,BANK_06,Nagpur,Maharashtra,21.17927,79.103088,138,1,41
ATM_000013,BANK_10,Ahmedabad,Gujarat,23.012655,72.511751,1016,1,66
ATM_000014,BANK_07,Kolkata,West Bengal,22.612972,88.366311,727,0,65
ATM_000015,BANK_04,Kolkata,West Bengal,22.518442,88.306252,631,0,66
ATM_000016,BANK_03,Nagpur,Maharashtra,21.102385,79.069421,1632,0,47
ATM_000017,BANK_08,Delhi,Delhi,28.667095,77.201888,1041,1,85
ATM_000018,BANK_05,Nashik,Maharashtra,20.028263,73.850925,151,1,73
ATM_000019,BANK_09,Delhi,Delhi,28.588424,77.246045,1124,1,63
ATM_000020,BANK_09,Delhi,Delhi,28.598648,77.266185,1393,1,37
ATM_000021,BANK_06,Nashik,Maharashtra,20.049143,73.719736,445,1,34
ATM_000022,BANK_03,Nagpur,Maharashtra,21.14787,79.020214,1675,1,66
ATM_000023,BANK_03,Pune,Maharashtra,18.488138,73.825045,1779,1,75
ATM_000024,BANK_12,Hyderabad,Telangana,17.396545,78.514826,1762,0,69
ATM_000025,BANK_03,Pune,Maharashtra,18.498776,73.830847,249,1,75
ATM_000026,BANK_09,Nagpur,Maharashtra,21.09011,79.084109,817,1,35
ATM_000027,BANK_05,Mumbai,Maharashtra,19.029233,72.876147,477,1,100
ATM_000028,BANK_04,Bengaluru,Karnataka,12.982608,77.576601,1423,1,97
ATM_000029,BANK_03,Hyderabad,Telangana,17.376583,78.505731,391,1,35
ATM_000030,BANK_09,Ahmedabad,Gujarat,22.964399,72.628821,950,0,3
ATM_000031,BANK_15,Mumbai,Maharashtra,19.08791,72.837496,255,1,42
ATM_000032,BANK_10,Nagpur,Maharashtra,21.093198,79.067363,1218,1,47
ATM_000033,BANK_05,Ahmedabad,Gujarat,23.020191,72.605148,1113,1,11
ATM_000034,BANK_07,Hyderabad,Telangana,17.421676,78.547087,787,0,98
ATM_000035,BANK_05,Pune,Maharashtra,18.562515,73.809056,1508,1,64
ATM_000036,BANK_01,Bengaluru,Karnataka,13.022563,77.597647,1613,1,78
ATM_000037,BANK_05,Ahmedabad,Gujarat,22.958675,72.583848,1075,1,56
ATM_000038,BANK_04,Nagpur,Maharashtra,21.170247,79.212453,1116,1,79
ATM_000039,BANK_03,Kolkata,West Bengal,22.589216,88.307183,432,1,28
ATM_000040,BANK_06,Mumbai,Maharashtra,19.108901,72.912556,392,0,85
ATM_000041,BANK_05,Bengaluru,Karnataka,12.992408,77.60741,1361,1,27
ATM_000042,BANK_06,Delhi,Delhi,28.593009,77.204999,1702,1,90
ATM_000043,BANK_15,Kolkata,West Bengal,22.55938,88.379323,1655,1,80
ATM_000044,BANK_08,Mumbai,Maharashtra,19.040555,72.857247,857,1,85
ATM_000045,BANK_12,Chennai,Tamil Nadu,13.055232,80.23886,1742,0,72
ATM_000046,BANK_12,Hyderabad,Telangana,17.374705,78.534451,357,1,31
ATM_000047,BANK_05,Nashik,Maharashtra,19.977025,73.80623,99,1,28
ATM_000048,BANK_14,Delhi,Delhi,28.589532,77.206397,289,0,7
ATM_000049,BANK_08,Nashik,Maharashtra,19.979658,73.845057,1491,0,38
ATM_000050,BANK_01,Pune,Maharashtra,18.577606,73.88608,1632,0,73
ATM_000051,BANK_10,Ahmedabad,Gujarat,22.972876,72.579442,1044,1,47
ATM_000052,BANK_05,Pune,Maharashtra,18.557499,73.816496,1113,1,36
ATM_000053,BANK_01,Kolkata,West Bengal,22.606577,88.344583,662,0,7
ATM_000054,BANK_14,Pune,Maharashtra,18.510546,73.868904,1379,0,51
ATM_000055,BANK_01,Nagpur,Maharashtra,21.128212,79.15236,648,1,91
ATM_000056,BANK_14,Kolkata,West Bengal,22.608535,88.356274,276,1,9
ATM_000057,BANK_02,Hyderabad,Telangana,17.359302,78.52946,352,1,91
ATM_000058,BANK_03,Delhi,Delhi,28.657415,77.214431,211,1,81
ATM_000059,BANK_14,Chennai,Tamil Nadu,13.110665,80.254739,1559,1,42
ATM_000060,BANK_10,Ahmedabad,Gujarat,23.074724,72.600176,765,1,5
ATM_000061,BANK_14,Mumbai,Maharashtra,19.059612,72.945709,1325,1,30
ATM_000062,BANK_05,Mumbai,Maharashtra,19.136229,72.854716,129,0,60
ATM_000063,BANK_10,Delhi,Delhi,28.572658,77.174415,1778,0,54
ATM_000064,BANK_15,Nashik,Maharashtra,19.979603,73.72377,1632,1,26
ATM_000065,BANK_13,Nashik,Maharashtra,20.005992,73.797547,420,1,87
ATM_000066,BANK_07,Chennai,Tamil Nadu,13.033496,80.289707,1500,0,56
ATM_000067,BANK_04,Mumbai,Maharashtra,19.150424,72.845418,1067,1,13
ATM_000068,BANK_14,Chennai,Tamil Nadu,13.041376,80.266305,1150,1,87
ATM_000069,BANK_11,Ahmedabad,Gujarat,23.053451,72.527138,1479,1,32
ATM_000070,BANK_01,Bengaluru,Karnataka,12.990278,77.598245,193,1,36
ATM_000071,BANK_03,Mumbai,Maharashtra,19.097179,72.873161,1687,1,97
ATM_000072,BANK_10,Chennai,Tamil Nadu,13.032646,80.215533,519,1,56
ATM_000073,BANK_07,Bengaluru,Karnataka,12.990655,77.661045,1385,1,15
ATM_000074,BANK_13,Kolkata,West Bengal,22.600168,88.434828,1109,0,73
ATM_000075,BANK_07,Hyderabad,Telangana,17.356199,78.548529,477,1,3
ATM_000076,BANK_14,Pune,Maharashtra,18.452994,73.910943,536,1,30
ATM_000077,BANK_09,Hyderabad,Telangana,17.344988,78.485174,142,1,53
ATM_000078,BANK_07,Ahmedabad,Gujarat,23.008747,72.586059,1787,1,92
ATM_000079,BANK_05,Delhi,Delhi,28.636207,77.211226,1134,1,62
ATM_000080,BANK_01,Ahmedabad,Gujarat,23.015835,72.518005,362,1,86
ATM_000081,BANK_13,Bengaluru,Karnataka,12.990649,77.583899,1440,1,49
ATM_000082,BANK_13,Chennai,Tamil Nadu,13.06613,80.271453,870,1,74
ATM_000083,BANK_04,Kolkata,West Bengal,22.578012,88.393101,573,1,94
ATM_000084,BANK_10,Delhi,Delhi,28.648586,77.233242,1451,1,54
ATM_000085,BANK_07,Chennai,Tamil Nadu,13.063143,80.25878,1620,0,37
ATM_000086,BANK_06,Nashik,Maharashtra,20.012435,73.81169,1748,0,68
ATM_000087,BANK_04,Chennai,Tamil Nadu,13.092516,80.241637,1327,1,90
ATM_000088,BANK_13,Chennai,Tamil Nadu,13.075976,80.293311,261,1,96
ATM_000089,BANK_08,Nagpur,Maharashtra,21.207763,79.117226,1192,1,96
ATM_000090,BANK_12,Hyderabad,Telangana,17.363429,78.504163,237,1,28
ATM_000091,BANK_11,Ahmedabad,Gujarat,22.994425,72.522423,1184,1,88
ATM_000092,BANK_05,Hyderabad,Telangana,17.327959,78.493432,1162,1,14
