case_id,split
CASE_003340,train
CASE_003740,train
CASE_002552,train
CASE_001151,train
CASE_008959,train
CASE_001917,train
CASE_001106,train
CASE_005624,train
CASE_001964,train
CASE_002624,train
CASE_003552,train
CASE_003794,train
CASE_008376,train
CASE_000323,train
CASE_000253,train
CASE_002389,train
CASE_003524,train
CASE_009316,train
CASE_003287,train
CASE_005914,train
CASE_001515,train
CASE_002222,train
CASE_001310,train
CASE_007719,train
CASE_009439,train
CASE_002787,train
CASE_004261,train
CASE_000526,train
CASE_009842,train
CASE_006880,train
CASE_005149,train
CASE_004985,train
CASE_000381,train
CASE_009236,train
CASE_003147,train
CASE_006202,train
CASE_003032,train
CASE_008238,train
CASE_001383,train
CASE_002547,train
CASE_008016,train
CASE_008446,train
CASE_000819,train
CASE_003766,train
CASE_001126,train
CASE_003386,train
CASE_000416,train
CASE_009453,train
CASE_004542,train
CASE_001140,train
CASE_008670,train
CASE_004293,train
CASE_009466,train
CASE_002946,train
CASE_002925,train
CASE_000084,train
CASE_004884,train
CASE_005309,train
CASE_007577,train
CASE_004615,train
CASE_003711,train
CASE_004653,train
CASE_006591,train
CASE_004142,train
CASE_004170,train
CASE_001080,train
CASE_007196,train
CASE_002979,train
CASE_007992,train
CASE_003523,train
CASE_007862,train
CASE_002880,train
CASE_003200,train
CASE_000307,train
CASE_002020,train
CASE_002980,train
CASE_007950,train
CASE_004393,train
CASE_007063,train
CASE_008366,train
CASE_003564,train
CASE_009851,train
CASE_008755,train
CASE_005915,train
CASE_005902,train
CASE_009183,train
CASE_006085,train
CASE_002577,train
CASE_005941,train
CASE_009288,train
CASE_004767,train
CASE_007732,train
CASE_004973,train
CASE_005533,train
CASE_007493,train
CASE_005808,train
CASE_007489,train
CASE_007366,train
CASE_003914,train
CASE_007745,train
CASE_003858,train
CASE_006614,train
CASE_006381,train
CASE_005513,train
CASE_009292,train
CASE_000747,train
CASE_007904,train
CASE_000729,train
CASE_003874,train
CASE_005259,train
CASE_001876,train
CASE_006962,train
CASE_009361,train
CASE_002098,train
CASE_007582,train
CASE_003360,train
CASE_005420,train
CASE_008850,train
CASE_007714,train
CASE_005697,train
CASE_008720,train
CASE_002483,train
CASE_000560,train
CASE_000013,train
CASE_005299,train
CASE_004844,train
CASE_001275,train
CASE_000583,train
CASE_003896,train
CASE_004184,train
CASE_005637,train
CASE_001518,train
CASE_008434,train
CASE_007922,train
CASE_003612,train
CASE_006726,train
CASE_007658,train
CASE_009717,train
CASE_000999,train
CASE_004192,train
CASE_001695,train
CASE_003332,train
CASE_009688,train
CASE_006983,train
CASE_006756,train
CASE_001872,train
CASE_006459,train
CASE_004878,train
CASE_008007,train
CASE_000758,train
CASE_004499,train
CASE_006616,train
CASE_006395,train
CASE_006204,train
CASE_007323,train
CASE_006765,train
CASE_006100,train
CASE_002007,train
CASE_000605,train
CASE_009818,train
CASE_007452,train
CASE_001975,train
CASE_005393,train
CASE_007170,train
CASE_004203,train
CASE_001893,train
CASE_009981,train
CASE_005388,train
CASE_008649,train
CASE_009258,train
CASE_002510,train
CASE_003716,train
CASE_009081,train
CASE_004345,train
CASE_003057,train
CASE_003284,train
CASE_005470,train
CASE_000533,train
CASE_001732,train
CASE_000850,train
CASE_005737,train
CASE_000219,train
CASE_003784,train
CASE_007345,train
CASE_008275,train
CASE_003944,train
CASE_006652,train
CASE_000269,train
CASE_006300,train
CASE_003010,train
CASE_005171,train
CASE_007277,train
CASE_000094,train
CASE_005143,train
CASE_001952,train
CASE_008092,train
CASE_008226,train
CASE_002788,train
CASE_000063,train
CASE_009358,train
CASE_000619,train
CASE_009778,train
CASE_002961,train
CASE_008328,train
CASE_005698,train
CASE_005367,train
CASE_007538,train
CASE_002169,train
CASE_007163,train
CASE_001957,train
CASE_002872,train
CASE_009249,train
CASE_001616,train
CASE_004718,train
CASE_009135,train
CASE_002264,train
CASE_002167,train
CASE_002974,train
CASE_002703,train
CASE_001320,train
CASE_008541,train
CASE_008412,train
CASE_002011,train
CASE_001370,train
CASE_009711,train
CASE_009446,train
CASE_008910,train
CASE_009663,train
CASE_008710,train
CASE_006759,train
CASE_000590,train
CASE_003604,train
CASE_006897,train
CASE_001097,train
CASE_003802,train
CASE_003571,train
CASE_003264,train
CASE_007871,train
CASE_009966,train
CASE_009337,train
CASE_003244,train
CASE_006695,train
CASE_009159,train
CASE_004663,train
CASE_009521,train
CASE_000697,train
CASE_006246,train
CASE_009426,train
CASE_000174,train
CASE_002999,train
CASE_003047,train
CASE_003880,train
CASE_007702,train
CASE_006116,train
CASE_007561,train
CASE_006870,train
CASE_009675,train
CASE_007559,train
CASE_004670,train
CASE_008132,train
CASE_009404,train
CASE_001406,train
CASE_002996,train
CASE_002499,train
CASE_001998,train
CASE_009893,train
CASE_004591,train
CASE_004868,train
CASE_003223,train
CASE_009481,train
CASE_009669,train
CASE_009587,train
CASE_005215,train
CASE_004923,train
CASE_000598,train
CASE_006981,train
CASE_004307,train
CASE_005096,train
CASE_008469,train
CASE_001978,train
CASE_000499,train
CASE_007228,train
CASE_007619,train
CASE_005588,train
CASE_001786,train
CASE_003698,train
CASE_009067,train
CASE_002670,train
CASE_003369,train
CASE_000025,train
CASE_008883,train
CASE_004795,train
CASE_002455,train
CASE_006142,train
CASE_002301,train
CASE_009874,train
CASE_002630,train
CASE_005976,train
CASE_008254,train
CASE_005234,train
CASE_007498,train
CASE_000626,train
CASE_001874,train
CASE_009488,train
CASE_003494,train
CASE_005657,train
CASE_002201,train
CASE_004270,train
CASE_003162,train
CASE_000737,train
CASE_007050,train
CASE_005261,train
CASE_004155,train
CASE_008703,train
CASE_006871,train
CASE_000417,train
CASE_003153,train
CASE_006031,train
CASE_009779,train
CASE_007611,train
CASE_007372,train
CASE_006445,train
CASE_004729,train
CASE_004958,train
CASE_001297,train
CASE_003364,train
