complaint_id,case_id,victim_account,reported_amount_inr,city,state,crime_type,timestamp_min
CMP_000000,CASE_000000,ACC_0074953,54749.08,Chennai,Tamil Nadu,DIGITAL_ARREST,64911
CMP_000001,CASE_000001,ACC_0092104,91989.23,Nashik,Maharashtra,ROMANCE_FRAUD,130543
CMP_000002,CASE_000002,ACC_0085518,141483.17,Pune,Maharashtra,JOB_FRAUD,166688
CMP_000003,CASE_000003,ACC_0023645,51286.89,Hyderabad,Telangana,UPI_FRAUD,172931
CMP_000004,CASE_000004,ACC_0021422,72454.71,Pune,Maharashtra,ROMANCE_FRAUD,102700
CMP_000005,CASE_000005,ACC_0010428,10182.33,Pune,Maharashtra,INVESTMENT_FRAUD,4262
CMP_000006,CASE_000006,ACC_0003420,264977.13,Hyderabad,Telangana,DIGITAL_ARREST,230784
CMP_000007,CASE_000007,ACC_0090339,25813.54,Delhi,Delhi,DIGITAL_ARREST,230806
CMP_000008,CASE_000008,ACC_0029306,135091.54,Ahmedabad,Gujarat,DIGITAL_ARREST,49086
CMP_000009,CASE_000009,ACC_0092341,213345.13,Nashik,Maharashtra,PHISHING,216370
CMP_000010,CASE_000010,ACC_0079682,31563.58,Pune,Maharashtra,INVESTMENT_FRAUD,83390
CMP_000011,CASE_000011,ACC_0033935,1054796.53,Hyderabad,Telangana,ROMANCE_FRAUD,89967
CMP_000012,CASE_000012,ACC_0025740,10115.52,Chennai,Tamil Nadu,PHISHING,258744
CMP_000013,CASE_000013,ACC_0002240,8439.65,Pune,Maharashtra,INVESTMENT_FRAUD,220032
CMP_000014,CASE_000014,ACC_0067618,116390.12,Kolkata,West Bengal,INVESTMENT_FRAUD,153023
CMP_000015,CASE_000015,ACC_0043031,35427.72,Nashik,Maharashtra,PHISHING,29783
CMP_000016,CASE_000016,ACC_0095240,48749.21,Kolkata,West Bengal,JOB_FRAUD,103683
CMP_000017,CASE_000017,ACC_0022359,5930.89,Mumbai,Maharashtra,UPI_FRAUD,56721
CMP_000018,CASE_000018,ACC_0071396,5072.21,Ahmedabad,Gujarat,PHISHING,212910
CMP_000019,CASE_000019,ACC_0053411,16638.01,Pune,Maharashtra,UPI_FRAUD,55715
CMP_000020,CASE_000020,ACC_0044794,206461.87,Hyderabad,Telangana,UPI_FRAUD,210141
CMP_000021,CASE_000021,ACC_0048115,47212.66,Pune,Maharashtra,DIGITAL_ARREST,127456
CMP_000022,CASE_000022,ACC_0072211,40148.15,Chennai,Tamil Nadu,PHISHING,188333
CMP_000023,CASE_000023,ACC_0057786,309559.09,Bengaluru,Karnataka,REMOTE_ACCESS,24128
CMP_000024,CASE_000024,ACC_0068633,32171.7,Nashik,Maharashtra,UPI_FRAUD,204290
CMP_000025,CASE_000025,ACC_0066261,265994.56,Nagpur,Maharashtra,DIGITAL_ARREST,229988
CMP_000026,CASE_000026,ACC_0063121,29536.43,Pune,Maharashtra,ROMANCE_FRAUD,7641
CMP_000027,CASE_000027,ACC_0063354,36529.61,Bengaluru,Karnataka,DIGITAL_ARREST,96611
CMP_000028,CASE_000028,ACC_0042595,64810.13,Ahmedabad,Gujarat,PHISHING,175845
CMP_000029,CASE_000029,ACC_0014127,82544.36,Pune,Maharashtra,INVESTMENT_FRAUD,177868
CMP_000030,CASE_000030,ACC_0032795,6953.08,Kolkata,West Bengal,UPI_FRAUD,75969
CMP_000031,CASE_000031,ACC_0044048,47289.24,Ahmedabad,Gujarat,REMOTE_ACCESS,168925
CMP_000032,CASE_000032,ACC_0014997,60362.79,Bengaluru,Karnataka,ROMANCE_FRAUD,54006
CMP_000033,CASE_000033,ACC_0098415,9876.62,Pune,Maharashtra,INVESTMENT_FRAUD,161932
CMP_000034,CASE_000034,ACC_0004338,7702.6,Ahmedabad,Gujarat,REMOTE_ACCESS,62688
CMP_000035,CASE_000035,ACC_0095929,568561.53,Hyderabad,Telangana,UPI_FRAUD,78864
CMP_000036,CASE_000036,ACC_0036739,32975.97,Kolkata,West Bengal,REMOTE_ACCESS,112500
CMP_000037,CASE_000037,ACC_0073993,16499.38,Kolkata,West Bengal,REMOTE_ACCESS,65069
CMP_000038,CASE_000038,ACC_0087604,120731.44,Nashik,Maharashtra,DIGITAL_ARREST,101229
CMP_000039,CASE_000039,ACC_0035678,87549.41,Nagpur,Maharashtra,JOB_FRAUD,138769
CMP_000040,CASE_000040,ACC_0097973,350887.64,Kolkata,West Bengal,JOB_FRAUD,206042
CMP_000041,CASE_000041,ACC_0061331,97946.04,Chennai,Tamil Nadu,PHISHING,27195
CMP_000042,CASE_000042,ACC_0040886,74443.52,Bengaluru,Karnataka,DIGITAL_ARREST,129422
CMP_000043,CASE_000043,ACC_0015428,21539.25,Bengaluru,Karnataka,DIGITAL_ARREST,217124
