case_id,strategy,crime_type,origin_city,origin_state,reported_amount_inr,start_timestamp_min,adaptive_event
CASE_000000,DIRECT_CASHOUT,DIGITAL_ARREST,Chennai,Tamil Nadu,54749.08,64911,0
CASE_000001,FAN_IN,ROMANCE_FRAUD,Nashik,Maharashtra,91989.23,130543,0
CASE_000002,CROSS_STATE,JOB_FRAUD,Pune,Maharashtra,141483.17,166688,0
CASE_000003,DIGITAL_ASSET,UPI_FRAUD,Hyderabad,Telangana,51286.89,172931,0
CASE_000004,ADAPTIVE,ROMANCE_FRAUD,Pune,Maharashtra,72454.71,102700,1
CASE_000005,DIRECT_CASHOUT,INVESTMENT_FRAUD,Pune,Maharashtra,10182.33,4262,0
CASE_000006,MULTI_HOP,DIGITAL_ARREST,Hyderabad,Telangana,264977.13,230784,0
CASE_000007,MULTI_HOP,DIGITAL_ARREST,Delhi,Delhi,25813.54,230806,0
CASE_000008,MULTI_HOP,DIGITAL_ARREST,Ahmedabad,Gujarat,135091.54,49086,0
CASE_000009,ADAPTIVE,PHISHING,Nashik,Maharashtra,213345.13,216370,1
CASE_000010,DIGITAL_ASSET,INVESTMENT_FRAUD,Pune,Maharashtra,31563.58,83390,0
CASE_000011,FAN_IN,ROMANCE_FRAUD,Hyderabad,Telangana,1054796.53,89967,0
CASE_000012,MULTI_HOP,PHISHING,Chennai,Tamil Nadu,10115.52,258744,0
CASE_000013,MULTI_HOP,INVESTMENT_FRAUD,Pune,Maharashtra,8439.65,220032,0
CASE_000014,FAN_OUT,INVESTMENT_FRAUD,Kolkata,West Bengal,116390.12,153023,0
CASE_000015,CROSS_STATE,PHISHING,Nashik,Maharashtra,35427.72,29783,0
CASE_000016,FAN_OUT,JOB_FRAUD,Kolkata,West Bengal,48749.21,103683,0
CASE_000017,DIGITAL_ASSET,UPI_FRAUD,Mumbai,Maharashtra,5930.89,56721,0
CASE_000018,FAN_IN,PHISHING,Ahmedabad,Gujarat,5072.21,212910,0
CASE_000019,FAN_OUT,UPI_FRAUD,Pune,Maharashtra,16638.01,55715,0
CASE_000020,DIRECT_CASHOUT,UPI_FRAUD,Hyderabad,Telangana,206461.87,210141,0
CASE_000021,MULTI_HOP,DIGITAL_ARREST,Pune,Maharashtra,47212.66,127456,0
CASE_000022,DIRECT_CASHOUT,PHISHING,Chennai,Tamil Nadu,40148.15,188333,0
CASE_000023,FAN_OUT,REMOTE_ACCESS,Bengaluru,Karnataka,309559.09,24128,0
CASE_000024,DIGITAL_ASSET,UPI_FRAUD,Nashik,Maharashtra,32171.7,204290,0
CASE_000025,MULTI_HOP,DIGITAL_ARREST,Nagpur,Maharashtra,265994.56,229988,0
CASE_000026,ADAPTIVE,ROMANCE_FRAUD,Pune,Maharashtra,29536.43,7641,1
CASE_000027,MULTI_HOP,DIGITAL_ARREST,Bengaluru,Karnataka,36529.61,96611,0
CASE_000028,MULTI_HOP,PHISHING,Ahmedabad,Gujarat,64810.13,175845,0
CASE_000029,FAN_OUT,INVESTMENT_FRAUD,Pune,Maharashtra,82544.36,177868,0
CASE_000030,FAN_OUT,UPI_FRAUD,Kolkata,West Bengal,6953.08,75969,0
CASE_000031,DIRECT_CASHOUT,REMOTE_ACCESS,Ahmedabad,Gujarat,47289.24,168925,0
CASE_000032,FAN_OUT,ROMANCE_FRAUD,Bengaluru,Karnataka,60362.79,54006,0
CASE_000033,MULTI_HOP,INVESTMENT_FRAUD,Pune,Maharashtra,9876.62,161932,0
CASE_000034,CROSS_STATE,REMOTE_ACCESS,Ahmedabad,Gujarat,7702.6,62688,0
CASE_000035,MULTI_HOP,UPI_FRAUD,Hyderabad,Telangana,568561.53,78864,0
CASE_000036,FAN_OUT,REMOTE_ACCESS,Kolkata,West Bengal,32975.97,112500,0
CASE_000037,MULTI_HOP,REMOTE_ACCESS,Kolkata,West Bengal,16499.38,65069,0
CASE_000038,FAN_OUT,DIGITAL_ARREST,Nashik,Maharashtra,120731.44,101229,0
CASE_000039,FAN_IN,JOB_FRAUD,Nagpur,Maharashtra,87549.41,138769,0
CASE_000040,DIGITAL_ASSET,JOB_FRAUD,Kolkata,West Bengal,350887.64,206042,0
CASE_000041,DIRECT_CASHOUT,PHISHING,Chennai,Tamil Nadu,97946.04,27195,0
CASE_000042,DIGITAL_ASSET,DIGITAL_ARREST,Bengaluru,Karnataka,74443.52,129422,0
CASE_000043,DIGITAL_ASSET,DIGITAL_ARREST,Bengaluru,Karnataka,21539.25,217124,0
CASE_000044,FAN_IN,JOB_FRAUD,Hyderabad,Telangana,5799.78,216775,0
CASE_000045,MULTI_HOP,JOB_FRAUD,Pune,Maharashtra,54937.49,149750,0
CASE_000046,DIGITAL_ASSET,PHISHING,Nagpur,Maharashtra,123559.39,63806,0
CASE_000047,DIRECT_CASHOUT,UPI_FRAUD,Kolkata,West Bengal,22281.05,159650,0
CASE_000048,MULTI_HOP,INVESTMENT_FRAUD,Hyderabad,Telangana,6650.24,16721,0
CASE_000049,DIRECT_CASHOUT,ROMANCE_FRAUD,Kolkata,West Bengal,248903.45,154867,0
CASE_000050,MULTI_HOP,JOB_FRAUD,Kolkata,West Bengal,22306.08,73448,0
CASE_000051,CROSS_STATE,REMOTE_ACCESS,Bengaluru,Karnataka,299771.31,92184,0
CASE_000052,DIRECT_CASHOUT,JOB_FRAUD,Nagpur,Maharashtra,5959.52,210733,0
CASE_000053,DIGITAL_ASSET,REMOTE_ACCESS,Chennai,Tamil Nadu,31098.5,19697,0
CASE_000054,DIGITAL_ASSET,INVESTMENT_FRAUD,Delhi,Delhi,31746.75,222394,0
