account_id,mule_type,ground_truth_only
ACC_0000004,compromised,1
ACC_0000005,cashout_agent,1
ACC_0000049,layering_hub,1
ACC_0000127,compromised,1
ACC_0000136,recruited,1
ACC_0000144,compromised,1
ACC_0000153,cashout_agent,1
ACC_0000159,layering_hub,1
ACC_0000165,recruited,1
ACC_0000196,recruited,1
ACC_0000203,compromised,1
ACC_0000266,compromised,1
ACC_0000274,cashout_agent,1
ACC_0000314,compromised,1
ACC_0000324,compromised,1
ACC_0000326,recruited,1
ACC_0000430,cashout_agent,1
ACC_0000481,cashout_agent,1
ACC_0000482,recruited,1
ACC_0000514,recruited,1
ACC_0000539,layering_hub,1
ACC_0000547,recruited,1
ACC_0000557,cashout_agent,1
ACC_0000559,compromised,1
ACC_0000569,cashout_agent,1
ACC_0000592,recruited,1
ACC_0000600,cashout_agent,1
ACC_0000612,compromised,1
ACC_0000614,compromised,1
ACC_0000617,recruited,1
ACC_0000618,cashout_agent,1
ACC_0000664,compromised,1
ACC_0000715,recruited,1
ACC_0000777,compromised,1
ACC_0000809,cashout_agent,1
ACC_0000833,recruited,1
ACC_0000861,layering_hub,1
ACC_0000896,cashout_agent,1
ACC_0000901,recruited,1
ACC_0000906,recruited,1
ACC_0000914,compromised,1
ACC_0000923,cashout_agent,1
ACC_0000989,recruited,1
ACC_0001017,layering_hub,1
ACC_0001021,compromised,1
ACC_0001026,layering_hub,1
ACC_0001041,layering_hub,1
ACC_0001056,layering_hub,1
ACC_0001082,cashout_agent,1
ACC_0001104,compromised,1
ACC_0001127,recruited,1
ACC_0001134,compromised,1
ACC_0001140,compromised,1
ACC_0001143,compromised,1
ACC_0001201,cashout_agent,1
ACC_0001217,layering_hub,1
ACC_0001240,cashout_agent,1
ACC_0001243,compromised,1
ACC_0001262,cashout_agent,1
ACC_0001273,compromised,1
ACC_0001283,compromised,1
ACC_0001316,cashout_agent,1
ACC_0001361,recruited,1
ACC_0001378,cashout_agent,1
ACC_0001413,recruited,1
ACC_0001476,recruited,1
ACC_0001479,cashout_agent,1
ACC_0001498,layering_hub,1
ACC_0001500,recruited,1
ACC_0001531,compromised,1
ACC_0001541,recruited,1
ACC_0001543,compromised,1
ACC_0001576,recruited,1
ACC_0001681,layering_hub,1
ACC_0001758,recruited,1
ACC_0001761,cashout_agent,1
ACC_0001765,cashout_agent,1
ACC_0001776,compromised,1
ACC_0001794,layering_hub,1
ACC_0001805,compromised,1
ACC_0001806,cashout_agent,1
ACC_0001835,layering_hub,1
ACC_0001859,recruited,1
ACC_0001873,layering_hub,1
ACC_0001957,layering_hub,1
ACC_0001967,layering_hub,1
ACC_0001977,cashout_agent,1
ACC_0002014,compromised,1
ACC_0002016,compromised,1
ACC_0002054,compromised,1
ACC_0002098,compromised,1
ACC_0002111,recruited,1
ACC_0002116,compromised,1
ACC_0002135,compromised,1
ACC_0002155,layering_hub,1
ACC_0002205,compromised,1
ACC_0002253,compromised,1
ACC_0002273,cashout_agent,1
ACC_0002366,recruited,1
ACC_0002413,cashout_agent,1
ACC_0002418,cashout_agent,1
ACC_0002424,cashout_agent,1
ACC_0002445,compromised,1
ACC_0002525,compromised,1
ACC_0002553,layering_hub,1
ACC_0002603,recruited,1
ACC_0002609,compromised,1
ACC_0002646,layering_hub,1
ACC_0002703,compromised,1
ACC_0002705,recruited,1
ACC_0002708,recruited,1
ACC_0002762,layering_hub,1
ACC_0002766,cashout_agent,1
ACC_0002769,layering_hub,1
ACC_0002775,compromised,1
ACC_0002790,recruited,1
ACC_0002826,cashout_agent,1
ACC_0002836,recruited,1
ACC_0002935,compromised,1
ACC_0002936,recruited,1
ACC_0002944,layering_hub,1
ACC_0003005,recruited,1
ACC_0003015,compromised,1
ACC_0003047,compromised,1
ACC_0003083,compromised,1
ACC_0003089,compromised,1
ACC_0003123,cashout_agent,1
ACC_0003156,compromised,1
ACC_0003222,cashout_agent,1
ACC_0003243,cashout_agent,1
ACC_0003258,layering_hub,1
ACC_0003266,recruited,1
ACC_0003280,cashout_agent,1
ACC_0003289,cashout_agent,1
ACC_0003356,recruited,1
ACC_0003387,compromised,1
ACC_0003474,compromised,1
ACC_0003502,recruited,1
ACC_0003510,layering_hub,1
ACC_0003581,recruited,1
ACC_0003603,recruited,1
ACC_0003619,layering_hub,1
ACC_0003680,cashout_agent,1
ACC_0003690,layering_hub,1
ACC_0003733,compromised,1
ACC_0003796,recruited,1
ACC_0003809,layering_hub,1
ACC_0003857,recruited,1
ACC_0003859,compromised,1
ACC_0003862,compromised,1
ACC_0003928,compromised,1
ACC_0003941,cashout_agent,1
ACC_0003973,recruited,1
ACC_0003992,cashout_agent,1
ACC_0003999,layering_hub,1
ACC_0004067,layering_hub,1
ACC_0004130,layering_hub,1
ACC_0004132,layering_hub,1
ACC_0004139,layering_hub,1
ACC_0004154,cashout_agent,1
ACC_0004196,recruited,1
ACC_0004246,layering_hub,1
ACC_0004252,compromised,1
ACC_0004300,compromised,1
ACC_0004305,recruited,1
ACC_0004323,cashout_agent,1
ACC_0004351,recruited,1
ACC_0004485,cashout_agent,1
ACC_0004507,compromised,1
ACC_0004519,cashout_agent,1
ACC_0004545,compromised,1
ACC_0004598,layering_hub,1
ACC_0004652,layering_hub,1
ACC_0004738,layering_hub,1
ACC_0004779,compromised,1
ACC_0004783,layering_hub,1
ACC_0004800,compromised,1
ACC_0004838,layering_hub,1
ACC_0004908,compromised,1
ACC_0004916,compromised,1
ACC_0005011,cashout_agent,1
ACC_0005017,recruited,1
ACC_0005018,cashout_agent,1
ACC_0005027,cashout_agent,1
ACC_0005042,cashout_agent,1
ACC_0005069,layering_hub,1
ACC_0005095,cashout_agent,1
ACC_0005141,cashout_agent,1
ACC_0005158,cashout_agent,1
ACC_0005170,recruited,1
ACC_0005178,cashout_agent,1
ACC_0005212,layering_hub,1
ACC_0005221,cashout_agent,1
ACC_0005240,compromised,1
ACC_0005285,recruited,1
ACC_0005299,compromised,1
ACC_0005316,compromised,1
ACC_0005331,recruited,1
ACC_0005347,cashout_agent,1
ACC_0005367,cashout_agent,1
ACC_0005401,cashout_agent,1
ACC_0005446,cashout_agent,1
ACC_0005461,layering_hub,1
ACC_0005465,layering_hub,1
ACC_0005485,recruited,1
ACC_0005486,cashout_agent,1
ACC_0005488,layering_hub,1
ACC_0005489,cashout_agent,1
ACC_0005498,recruited,1
ACC_0005504,cashout_agent,1
ACC_0005530,recruited,1
ACC_0005539,recruited,1
ACC_0005549,cashout_agent,1
ACC_0005577,cashout_agent,1
ACC_0005610,layering_hub,1
ACC_0005631,layering_hub,1
ACC_0005671,compromised,1
ACC_0005688,cashout_agent,1
ACC_0005699,recruited,1
ACC_0005719,recruited,1
ACC_0005763,compromised,1
ACC_0005765,recruited,1
ACC_0005815,recruited,1
ACC_0005925,recruited,1
ACC_0005934,layering_hub,1
ACC_0005984,recruited,1
ACC_0005996,compromised,1
ACC_0006168,recruited,1
ACC_0006189,compromised,1
ACC_0006193,layering_hub,1
